iter	Logloss	Accuracy
306	0.5862545682	0.6873856964
307	0.5861862927	0.6874217923
308	0.5861562946	0.6872774088
309	0.5861052976	0.6874097603
310	0.5860528779	0.6876143036
311	0.5859911103	0.6875180479
312	0.5859368809	0.6878910386
313	0.5858974084	0.688047454
314	0.5858307588	0.6881798056
315	0.5857763982	0.6881557416
316	0.5857329133	0.6881076138
317	0.5856924892	0.6881798056
318	0.5856268038	0.6881918375
319	0.5855853777	0.6881557416
320	0.5855390788	0.6881196458
321	0.5854916606	0.688336221
322	0.5854493151	0.688348253
323	0.5854079449	0.6885046684
324	0.5853801743	0.6884204447
325	0.5853287522	0.6888295312
326	0.585284576	0.6888295312
327	0.5852410146	0.6887693715
328	0.5851784852	0.6885527962
329	0.5851326893	0.6886490519
330	0.5850502384	0.6886610838
331	0.5849903826	0.6886971797
332	0.5849476277	0.6885648282
333	0.584875323	0.6888415632
334	0.584824061	0.6888415632
335	0.5847897699	0.6889378188
336	0.5847464964	0.6889859467
337	0.5847236581	0.6889378188
338	0.5846775641	0.6889257869
339	0.5846502756	0.6889137549
340	0.5845980289	0.688889691
341	0.5845535553	0.6889378188
342	0.584501217	0.6890100106
343	0.5844724591	0.6888174993
344	0.5844318064	0.688901723
345	0.5843898192	0.688889691
346	0.5843496425	0.6889859467
347	0.5842904575	0.6892025219
348	0.5842341936	0.6892145539
349	0.5841950536	0.6893589373
350	0.5841552962	0.6893348734
351	0.5841058099	0.6895394167
352	0.5840441083	0.6895273847
353	0.5840049244	0.6894672249
354	0.5839707598	0.6896236404
355	0.5839340103	0.6896597363
356	0.5838798238	0.6895634806
357	0.5838425885	0.6895995765
358	0.5837837483	0.6896116084
359	0.5837521114	0.6896717682
360	0.5837161597	0.6896597363
361	0.5836823298	0.6896356723
362	0.5836371588	0.6897920878
363	0.5835804777	0.6897559919
364	0.5835219769	0.6899485032
365	0.5834292505	0.6900567908
366	0.5833792081	0.6901169506
367	0.5833258761	0.6900567908
368	0.5832675081	0.6900928867
369	0.5832162343	0.6902011743
370	0.5831658732	0.6901771104
371	0.583125757	0.6901049187
372	0.5830752902	0.6901049187
373	0.5830433193	0.6902252382
374	0.5830162982	0.6901650784
375	0.5829589207	0.6903575898
376	0.5829085638	0.6903094619
377	0.5828712155	0.69029743
378	0.5828273433	0.6904057176
379	0.5827834634	0.6904899413
380	0.5827475206	0.6906704206
381	0.5827231248	0.6907065165
382	0.5826787896	0.6907546443
383	0.5825798224	0.6910674752
384	0.5825425535	0.6909712196
385	0.5824937886	0.6909712196
386	0.5824512364	0.6910915391
387	0.5824091224	0.6910434113
388	0.5823728124	0.6910795072
389	0.5823313929	0.6910554433
390	0.582280026	0.6907907402
391	0.5822313495	0.6909591876
392	0.5821861144	0.6909471556
393	0.5821443077	0.6910313793
394	0.5821005336	0.6910193474
395	0.5820915548	0.6910313793
396	0.5820376672	0.6912960824
397	0.5820044575	0.6912840504
398	0.5819580417	0.6913201463
399	0.5819115602	0.6913562422
400	0.5818490504	0.6914645298
401	0.5818161858	0.691416402
402	0.5817863343	0.6915367215
403	0.5817487338	0.6914404659
404	0.5816910612	0.6915607854
405	0.581641322	0.691392338
406	0.5815853058	0.6915246896
407	0.5815379291	0.6916209452
408	0.5814971337	0.6917893926
409	0.5814503014	0.6918375205
410	0.5814158463	0.6918134565
411	0.5813922278	0.6919097122
412	0.5813618479	0.6919939359
413	0.581326164	0.691969872
414	0.5812988953	0.69195784
415	0.5812559266	0.691969872
416	0.581205836	0.6920901915
417	0.581164261	0.6921262874
418	0.5811205369	0.6921864472
419	0.5810813098	0.6924270863
420	0.5810239957	0.692523342
421	0.5809637193	0.6925474059
422	0.5809209139	0.6925835018
423	0.5808858086	0.692812109
424	0.5808396307	0.6925594379
425	0.5808035416	0.6927399172
426	0.580780694	0.6927278853
427	0.5807326103	0.6925714698
428	0.5806923659	0.6926677255
429	0.5806584416	0.692800077
430	0.5806262198	0.6927519492
431	0.5805949245	0.6927399172
432	0.5805281559	0.6927158533
433	0.5804912928	0.692788045
434	0.5804481244	0.6927278853
435	0.5803453855	0.6932332275
436	0.5803031198	0.6931369718
437	0.5802541497	0.6931850996
438	0.5801990479	0.693088844
439	0.5800969532	0.6933054192
440	0.5800579345	0.6934498027
441	0.5800112576	0.6935460583
442	0.5799514957	0.6935701222
443	0.579897782	0.6936062181
444	0.5798596607	0.6935941862
445	0.5798163905	0.6937385696
446	0.5797659118	0.6935821542
447	0.5797244073	0.6934979305
448	0.5796692264	0.693630282
449	0.5796309291	0.6937385696
450	0.5796052614	0.6936663779
451	0.579553824	0.6936904418
452	0.5795261775	0.6937385696
453	0.5794786438	0.6937024738
454	0.5794343375	0.6937626336
455	0.5794011838	0.6938829531
456	0.5793791929	0.6939431129
457	0.5792591588	0.6941476562
458	0.5792166107	0.694207816
459	0.5791562965	0.6943040716
460	0.57912801	0.6944604871
461	0.5790800539	0.6945567427
462	0.5789977598	0.6946169025
463	0.5789595603	0.6947372221
464	0.5789089761	0.6948094138
465	0.5788847474	0.6947853499
466	0.5788454738	0.6948214458
467	0.578783689	0.6948575416
468	0.5787434238	0.6948575416
469	0.5787166184	0.6949297334
470	0.5786725377	0.6950019251
471	0.5786270452	0.6949658292
472	0.5785816274	0.6952666282
473	0.5785372826	0.6951342766
474	0.5785004075	0.6951463086
475	0.5784687633	0.6950620849
476	0.5784331516	0.6951463086
477	0.5783948105	0.6952906921
478	0.5783449435	0.6954230436
479	0.5782989955	0.6954110116
480	0.578257944	0.6954110116
481	0.5782185367	0.695579459
482	0.5781765417	0.6956396188
483	0.578147196	0.6956516508
484	0.578101174	0.6956757147
485	0.578058045	0.6957719704
486	0.5780396979	0.6958200982
487	0.578002562	0.6956757147
488	0.5779619131	0.6958200982
489	0.577930351	0.695868226
490	0.5778975801	0.6958922899
491	0.5778618513	0.6959283858
492	0.5778599156	0.6959404177
493	0.5778172614	0.6959885456
494	0.5777776581	0.696156993
495	0.5777405251	0.6960968332
496	0.5777056089	0.6961088651
497	0.5776660737	0.696156993
498	0.577635883	0.6963134084
499	0.5776007294	0.6961329291
